"title","company","location","link","description","category"
"Senior Applied Machine Learning Engineer, Frontier AI","Aduril Industries","Boston, Massachusetts","https://www.dice.com/job-detail/efe5b622-3d2f-4f8c-a703-74f066305ede","Aduril Industries

Apply Now
Senior Applied Machine Learning Engineer, Frontier AI

Boston, Massachusetts

•

Today

Anduril Industries is a defense technology company with a mission to transform U.S. and allied military capabilities with advanced technology. By bringing the expertise, technology, and business model of the 21st century's most innovative companies to the defense industry, Anduril is changing how military systems are designed, built and sold. Anduril's family of systems is powered by Lattice OS, an AI-powered operating system that turns thousands of data streams into a realtime, 3D command and c

Full-time

USD 168,000.00 - 252,000.00 per year","Boston AI"
"Senior Back-End Engineer Generative AI Startup","Venus Consultancy","Cambridge, Massachusetts","https://www.dice.com/job-detail/ac416809-1384-46fa-af84-5bd1bb0a40b3","Venus Consultancy

Easy Apply
Senior Back-End Engineer Generative AI Startup

Cambridge, Massachusetts

•

9d ago

Our client, a Seed-stage GenAI startup in Cambridge, MA, is hiring a Senior Back-End Engineer. Work with the founding team on cutting-edge AI, shape product & architecture, and impact enterprise software creation. Competitive pay $150K $200K + equity, onsite. About Our ClientOur client is a Seed-stage Generative AI startup in Cambridge, MA, on a mission to automate custom software creation and redefine the future of software development. Backed by tier-1 investors and led by founders with mult

Full-time

$160,000 - $200,000","Boston AI"
"Senior Security Agent Engineer / Startup / AI","Motion Recruitment Partners, LLC","Boston, Massachusetts","https://www.dice.com/job-detail/8e2be136-2b0f-4672-94c1-b09aa8af3f70","Motion Recruitment Partners, LLC

Easy Apply
Senior Security Agent Engineer / Startup / AI

Boston, Massachusetts

•

Today

A Series C cybersecurity startup is looking to hire a Senior Security Agent Engineer to join their growing team! They build SaaS products that help security teams improve their Splunk and Azure SIEMs, automating detection engineering, threat hunting, and investigations without needing new tools or data centralization! You'll be responsible for designing, building, and deploying AI-powered security agents that analyze complex cybersecurity data and support incident response workflows. Ideal candi

Full-time

140k - 180k","Boston AI"
"AI & ML Data Analytics Director/Senior Manager","Combined Computer Resources","Hybrid in Boston, Massachusetts","https://www.dice.com/job-detail/b887a608-1ea1-472a-80b5-931994456702","Combined Computer Resources

Easy Apply
AI & ML Data Analytics Director/Senior Manager

Hybrid in Boston, Massachusetts

•

Today

The Group Benefits Data & AI (GB D&AI) team is looking for a Product Delivery Lead (the role ) to work closely with one of our core GB value streams (e.g., underwriting, claims, distribution, etc.) to manage, define, shape, prioritize and lead the delivery and evolution of key D&AI solutions supporting value stream business objectives. More specifically, this role will drive the ongoing capture and prioritization of new demand for features and/or enhancements to clients data and information pro

Contract

Depends on Experience","Boston AI"
"Google Cloud Platform AI SME ( Google Cloud Platform AI Subject Matter Expert )","radient.ai","Boston, Massachusetts","https://www.dice.com/job-detail/74b5198a-792d-4346-967c-7e03e2ff30cf","radient.ai

Easy Apply
Google Cloud Platform AI SME ( Google Cloud Platform AI Subject Matter Expert )

Boston, Massachusetts

•

7d ago

Job Title: Google Cloud Platform AI SME ( Google Cloud Platform (Google Cloud Platform) AI Subject Matter Expert (SME) ) Client: Implementation: Duration: 6+ Months Experience level: 12+ Experience Location: Boston, MA, USA (Onsite) We are seeking a highly skilled and experienced Google Cloud Platform (Google Cloud Platform) AI Subject Matter Expert (SME) to lead the design, development, and deployment of AI/ML solutions on Google Cloud Platform. As a Google Cloud Platform AI SME, you will pro

Contract

Depends on Experience","Boston AI"
"AI Security Tester (Application Security)","Apex Systems","Boston, Massachusetts","https://www.dice.com/job-detail/84af301b-03bd-4f78-8935-5913d7495bb2","Apex Systems

Easy Apply
AI Security Tester (Application Security)

Boston, Massachusetts

•

Today

Job#: 2088785 Job Description: Position: AI Security Tester (Application Security) Client: Large banking organization Duration: 6+ Months; Strong potential to extend up to 18 months and/or full time conversion Location: Remote Rate: $90 - $105/hour on Apexs W2 Overview: Adversarial Testing: Design and execute controlled adversarial attacks (prompt injection, input/output evaluation, data exfiltration, misinformation generation) Evaluate GenAI models against known and emerging AI-specific a

Full-time","Boston AI"
"Principal Engineer- AI and Data Engineering","Motion Recruitment Partners, LLC","Boston, Massachusetts","https://www.dice.com/job-detail/8bae9b69-aa5d-4f47-9d18-8a05ab683225","Motion Recruitment Partners, LLC

Easy Apply
Principal Engineer- AI and Data Engineering

Boston, Massachusetts

•

Today

Job Description Our client, a leading healthcare technology company that's transforming how medical practices operate across the U.S. through AI-driven solutions is looking for a Principal Engineer focused on AI and Data Engineering. The team is building advanced platforms that include electronic health records, revenue cycle management, and patient engagement tools, with a strong emphasis on integrating GenAI, LLMs, and scalable cloud-based infrastructure. This is a unique opportunity to step

Full-time

75/hr - 95/hr","Boston AI"
"Senior AI/ML Engineer II","DigitalOcean","Boston, Massachusetts","https://www.dice.com/job-detail/12abe7ee-c758-4868-b663-cadb4c8803a0","DigitalOcean

Apply Now
Senior AI/ML Engineer II

Boston, Massachusetts

•

Today

Dive in and do the best work of your career at DigitalOcean. Journey alongside a strong community of top talent who are relentless in their drive to build the simplest scalable cloud. If you have a growth mindset, naturally like to think big and bold, and are energized by the fast-paced environment of a true industry disruptor, you'll find your place here. We value winning together-while learning, having fun, and making a profound difference for the dreamers and builders in the world. We're buil

Full-time

USD 146,600.00 - 183,300.00 per year","Boston AI"
"Senior AI Engineer","Analog Devices, Inc.","Boston, Massachusetts","https://www.dice.com/job-detail/ac306bf8-e208-4baa-b01e-3b9737e88067","Analog Devices, Inc.

Apply Now
Senior AI Engineer

Boston, Massachusetts

•

Today

About Analog Devices Analog Devices, Inc. (NASDAQ: ADI ) is a global semiconductor leader that bridges the physical and digital worlds to enable breakthroughs at the Intelligent Edge. ADI combines analog, digital, and software technologies into solutions that help drive advancements in digitized factories, mobility, and digital healthcare, combat climate change, and reliably connect humans and the world. With revenue of more than $9 billion in FY24 and approximately 24,000 people globally, ADI

Full-time

USD 108,800.00 - 149,600.00 per year","Boston AI"
"Director, AI Engineering","DigitalOcean","Boston, Massachusetts","https://www.dice.com/job-detail/c8094718-4e02-4589-832b-0463b11c3d1a","DigitalOcean

Apply Now
Director, AI Engineering

Boston, Massachusetts

•

Today

Dive in and do the best work of your career at DigitalOcean. Journey alongside a strong community of top talent who are relentless in their drive to build the simplest scalable cloud. If you have a growth mindset, naturally like to think big and bold, and are energized by the fast-paced environment of a true industry disruptor, you'll find your place here. We value winning together-while learning, having fun, and making a profound difference for the dreamers and builders in the world. We serve t

Full-time

USD 192,000.00 - 288,000.00 per year","Boston AI"
"AI Data Specialist","S&amp;P Global","Cambridge, Massachusetts","https://www.dice.com/job-detail/5ab2dc55-c7e1-4d01-a494-b7f630927102","S&amp;P Global

Apply Now
AI Data Specialist

Cambridge, Massachusetts

•

3d ago

Kensho is S&P Global's hub for AI innovation and transformation. With expertise in Machine Learning and data discovery, we develop and deploy novel solutions for S&P Global and its customers worldwide. Our solutions help businesses harness the power of data and Artificial Intelligence to innovate and drive progress. Kensho's solutions and research focus on speech recognition, entity linking, document extraction, automated database linking, text classification, natural language processing, and mo

Full-time

USD 90,000.00 - 125,000.00 per year","Boston AI"
"Principal AI Engineer","Analog Devices, Inc.","Boston, Massachusetts","https://www.dice.com/job-detail/7224e7be-53fd-41b3-8a0e-5023d319ef85","Analog Devices, Inc.

Apply Now
Principal AI Engineer

Boston, Massachusetts

•

Today

About Analog Devices Analog Devices, Inc. (NASDAQ: ADI ) is a global semiconductor leader that bridges the physical and digital worlds to enable breakthroughs at the Intelligent Edge. ADI combines analog, digital, and software technologies into solutions that help drive advancements in digitized factories, mobility, and digital healthcare, combat climate change, and reliably connect humans and the world. With revenue of more than $9 billion in FY24 and approximately 24,000 people globally, ADI

Full-time

USD 148,500.00 - 222,750.00 per year","Boston AI"
"Principal AI Engineer","Hasbro Inc.","Boston, Massachusetts","https://www.dice.com/job-detail/1b930e35-7dcc-4491-ba87-d81a53b3e2a1","Hasbro Inc.

Apply Now
Principal AI Engineer

Boston, Massachusetts

•

Today

At Hasbro, our mission is to entertain and connect generations of fans through the wonder of storytelling and exhilaration of play. We're looking for adventurous and curious people who want to explore, experiment, and innovate to come up with the best ideas. Our culture has inspired our diverse team of highly skilled, highly creative, and highly committed individuals for 100 years and we believe the best is yet to come. We're seeking a Principal Engineer to join as a founding technical leader o

Full-time

USD 163,040.00 - 244,560.00 per year","Boston AI"
"Principal Engineer, AI Infrastructure","DigitalOcean","Boston, Massachusetts","https://www.dice.com/job-detail/bfb7f953-2734-4a27-85f6-5f1deb9f4a19","DigitalOcean

Apply Now
Principal Engineer, AI Infrastructure

Boston, Massachusetts

•

Today

Dive in and do the best work of your career at DigitalOcean. Journey alongside a strong community of top talent who are relentless in their drive to build the simplest scalable cloud. If you have a growth mindset, naturally like to think big and bold, and are energized by the fast-paced environment of a true industry disruptor, you'll find your place here. We value winning together-while learning, having fun, and making a profound difference for the dreamers and builders in the world. As a Bare

Full-time

USD 206,400.00 - 258,000.00 per year","Boston AI"
"Principal Research Engineer: AEC Geometric Data-Generative AI US or Canada","Autodesk Inc.","Boston, Massachusetts","https://www.dice.com/job-detail/118855d8-5a87-44c8-9dd7-4cba461ff290","Autodesk Inc.

Apply Now
Principal Research Engineer: AEC Geometric Data-Generative AI US or Canada

Boston, Massachusetts

•

Today

Job Requisition ID # 25WD90812 Principal Research Engineer: AEC Geometric Data-Generative AI Autodesk is leading the transformation of the AEC industry, integrating AI technology into our products. We're enhancing our applications with cloud-native capabilities, including data at scale, edge computing, AI-based solutions, and advanced 3D modeling and graphics. This innovation is happening across our flagship products-AutoCAD, Revit, and Construction Cloud-and Forma, our new Industry Cloud. A

Full-time

USD 146,900.00 - 237,600.00 per year","Boston AI"
"Chief Data and AI Officer","State Street Corporation","Boston, Massachusetts","https://www.dice.com/job-detail/e5cd888b-7a71-4502-aca9-ab4ae2dabb0c","State Street Corporation

Apply Now
Chief Data and AI Officer

Boston, Massachusetts

•

30+d ago

Overview As the asset servicing industry undergoes digital transformation, the ability to harness data and artificial intelligence (AI) has become a strategic imperative. From custody and fund administration to securities lending and regulatory reporting, data is the foundation of operational excellence, client service, and innovation. To lead this transformation, we elevating the Chief Data and AI Officer (CDAO) role-to a single executive level leader responsible for unlocking the full value o

Full-time

USD 300,000.00 - 412,500.00 per year","Boston AI"
"Senior/Principal Machine Learning Engineer, Generative AI","Autodesk Inc.","Boston, Massachusetts","https://www.dice.com/job-detail/a8d19f1b-8c3d-4a31-be4a-ac05b79ab914","Autodesk Inc.

Apply Now
Senior/Principal Machine Learning Engineer, Generative AI

Boston, Massachusetts

•

Today

Job Requisition ID # 25WD89883 Position Overview Autodesk is leading the transformation of the AEC industry, integrating AI technology into our products. We're enhancing our applications with cloud-native capabilities, including data at scale, edge computing, AI-based solutions, and advanced 3D modeling and graphics. This innovation is happening across our flagship products-AutoCAD, Revit, and Construction Cloud-and Forma, our new Industry Cloud. As a Machine Learning Engineer on the AEC Sol

Full-time

USD 166,600.00 - 269,500.00 per year","Boston AI"
"AI Enablement Software developer, CO-OP","State Street Corporation","Quincy, Massachusetts","https://www.dice.com/job-detail/1f7aca5e-b34f-4322-abed-77248f2a14d3","State Street Corporation

Apply Now
AI Enablement Software developer, CO-OP

Quincy, Massachusetts

•

Yesterday

Jan 2026 - Jun 2026 (Full-Time role) Who We Are Looking For: This opportunity is ideal for individuals interested in contributing to our team as a Software Developer AI Enablement intern within State Street's Global Technology Services organization. Our technology function, Global Technology Services (GTS), is vital to State Street and is the key enabler for our business to deliver data and insights to our clients. We're driving the company's digital transformation and expanding business capabil

Full-time

USD 41,600.00 - 65,000.00 per year","Boston AI"
"Artificial Intelligence & AWS Cloud Developer, Co-OP","State Street Corporation","Quincy, Massachusetts","https://www.dice.com/job-detail/9bdba438-8033-442f-8816-1f3a5e372635","State Street Corporation

Apply Now
Artificial Intelligence & AWS Cloud Developer, Co-OP

Quincy, Massachusetts

•

Yesterday

Jan 2026 - Jun 2026 (Full-Time role) Who We Are Looking For: This opportunity is ideal for individuals interested in contributing to our team as an Artificial Intelligence & AWS Cloud Intern within State Street's Global Technology Services organization. Our technology function, Global Technology Services (GTS), is vital to State Street and is the key enabler for our business to deliver data and insights to our clients. We're driving the company's digital transformation and expanding business cap

Full-time

USD 41,600.00 - 65,000.00 per year","Boston AI"
"Staff Analog AI Compute System Engineer","Analog Devices, Inc.","Boston, Massachusetts","https://www.dice.com/job-detail/64251a82-2121-43d6-87a7-921c29ff094b","Analog Devices, Inc.

Apply Now
Staff Analog AI Compute System Engineer

Boston, Massachusetts

•

Today

About Analog Devices Analog Devices, Inc. (NASDAQ: ADI ) is a global semiconductor leader that bridges the physical and digital worlds to enable breakthroughs at the Intelligent Edge. ADI combines analog, digital, and software technologies into solutions that help drive advancements in digitized factories, mobility, and digital healthcare, combat climate change, and reliably connect humans and the world. With revenue of more than $9 billion in FY24 and approximately 24,000 people globally, ADI

Full-time

USD 166,800.00 - 229,350.00 per year","Boston AI"
"Machine Learning Software Engineer","Aduril Industries","Lexington, Massachusetts","https://www.dice.com/job-detail/e22ca476-401f-41a3-a894-02e17b82faad","Aduril Industries

Apply Now
Machine Learning Software Engineer

Lexington, Massachusetts

•

Today

Anduril Industries is a defense technology company with a mission to transform U.S. and allied military capabilities with advanced technology. By bringing the expertise, technology, and business model of the 21st century's most innovative companies to the defense industry, Anduril is changing how military systems are designed, built and sold. Anduril's family of systems is powered by Lattice OS, an AI-powered operating system that turns thousands of data streams into a realtime, 3D command and c

Full-time

USD 168,000.00 - 252,000.00 per year","Boston AI"
"AWS Solutions Architect (15+)- with GenAI & ML :: Onsite :: Boston, MA","1 Point System","Boston, Massachusetts","https://www.dice.com/job-detail/06168902-af3e-4417-a147-01fbbef708c6","1 Point System

Easy Apply
AWS Solutions Architect (15+)- with GenAI & ML :: Onsite :: Boston, MA

Boston, Massachusetts

•

2d ago

Tile : Solutions Architect- AWS, GenAI & ML Boston, MA 4 days/week onsite F2F Interview required Solutions Architect- AWS, GenAI & ML Our client is seeking an experienced Solutions Architect with expertise in AWS Solution Design, Generative AI (GenAI), Machine Learning (ML) to help the technical strategy and architecture for enterprise solutions. In this role, you will design and implement innovative, scalable, and secure cloud-native solutions. You will be instrumental in defining the AWS arch

Contract, Third Party

Depends on Experience","Boston AI"
"Audio Machine Learning Research Engineer","Apple, Inc.","Cambridge, Massachusetts","https://www.dice.com/job-detail/28ff59b3-4e8c-413a-9810-bc6c07a0b3a3","Apple, Inc.

Apply Now
Audio Machine Learning Research Engineer

Cambridge, Massachusetts

•

Today

Imagine what you could do at Apple! Every day, new ideas have a way of becoming extraordinary products, services, and customer experiences very quickly. Do you bring passion and dedication to your job? If so, we are looking for individuals like you. The Audio and Media Technologies (AMT) team is at the center of audio & video support in Apple's innovative products, including AirPods, HomePod, Mac, iPhone, iPad, Apple Watch, Apple TV, and Vision Pro. AMT's Audio team provides the audio foundation

Full-time

USD 132,100.00 - 244,600.00 per year","Boston AI"
